Raw Data 		Experiment - wj-qpcr (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	2	1	140570	59.95	0.09
A1  Sample 1	2	2	2	239860	59.95	0.05
A1	Sample 1	2	2	3	339060	59.95	0.09
A1	Sample 1	2	2	4	438260	59.95	0.05
A1	Sample 1	2	2	5	537470	59.95	0.09
A1	Sample 1	2	2	6	636770	59.95	0.09
A1	Sample 1	2	2	7	736080	59.95	0.07
A1	Sample 1	2	2	8	835370	59.92	0.12
A1	Sample 1	2	2	9	934670	59.95	0.05
A1	Sample 1	2	2	10	1033970	59.95	0.07
A1	Sample 1	2	2	11	1133270	59.95	0.05
A1	Sample 1	2	2	12	1232580	59.95	0.05
A1	Sample 1	2	2	13	1331780	59.95	0.05
A1	Sample 1	2	2	14	1431090	59.95	0.02
A1	Sample 1	2	2	15	1530380	59.95	0.07
A1	Sample 1	2	2	16	1629680	59.95	0.09
A1	Sample 1	2	2	17	1728980	59.95	0.05
A1	Sample 1	2	2	18	1828300	59.95	0.07
A1	Sample 1	2	2	19	1927490	59.95	0.12
A1	Sample 1	2	2	20	2026700	59.95	0.07
A1	Sample 1	2	2	21	2126000	59.95	0.07
A1	Sample 1	2	2	22	2225290	59.95	0.05
A1	Sample 1	2	2	23	2324590	59.95	0.02
A1	Sample 1	2	2	24	2423910	59.92	0.05
A1	Sample 1	2	2	25	2523190	59.95	0.05
A1	Sample 1	2	2	26	2622520	59.95	0.07
A1	Sample 1	2	2	27	2721810	59.95	0.05
A1	Sample 1	2	2	28	2821010	59.95	0.05
A1	Sample 1	2	2	29	2920310	59.95	0.09
A1	Sample 1	2	2	30	3019610	59.95	0.05
A1	Sample 1	2	2	31	3118910	59.95	0.07
A1	Sample 1	2	2	32	3218220	59.95	0.05
A1	Sample 1	2	2	33	3317520	59.95	0.05
A1	Sample 1	2	2	34	3416720	59.95	0.07
A1	Sample 1	2	2	35	3516030	59.95	0.05
A1	Sample 1	2	2	36	3615320	59.95	0.02
A1	Sample 1	2	2	37	3714520	59.95	0.02
A1	Sample 1	2	2	38	3813840	59.95	0.09
A1	Sample 1	2	2	39	3913130	59.95	0.02
A1	Sample 1	2	2	40	4012430	59.95	0.09
